input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 16 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 15 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 32 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 20, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 30 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 20 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 19 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 40 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 38 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 81 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 50, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 76 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 41 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 38 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 82 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 77 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 164 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 100, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 154 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 165 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 155 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 331 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 310 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 663 Mbps
input - numerology: 0, modulation_order: 1, bandwidth: 400, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 621 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 73 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 68 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 147 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 137 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 294 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 275 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 193 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 181 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 386 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 362 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 772 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 50, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 724 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 393 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 369 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 787 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 738 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 1574 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 100, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 1476 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 1596 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 1496 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 3192 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 2992 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 4, link_type: downlink - calculated 5g throughput: 6384 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 400, mimo_layers: 4, link_type: uplink - calculated 5g throughput: 5985 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 1, link_type: downlink - calculated 5g throughput: 73 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 1, link_type: uplink - calculated 5g throughput: 68 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 2, link_type: downlink - calculated 5g throughput: 147 Mbps
input - numerology: 1, modulation_order: 26, bandwidth: 20, mimo_layers: 2, link_type: uplink - calculated 5g throughput: 137 Mbps
